08:27:34.752 ERROR Egg 
08:27:34.755 ERROR Cannot read property 'NaN' of undefined
TypeError: Cannot read property 'NaN' of undefined
    at Object.room.isIn (/app/arrasio/src/server/server.js:300:42)
    at entities.map.instance (/app/arrasio/src/server/server.js:5029:34)
    at Array.map (<anonymous>)
    at makefood (/app/arrasio/src/server/server.js:5024:29)
    at Timeout.maintainloop [as _onTimeout] (/app/arrasio/src/server/server.js:5089:9)
    at ontimeout (timers.js:498:11)
    at tryOnTimeout (timers.js:323:5)
    at Timer.listOnTimeout (timers.js:290:5) 
08:39:57.132 WARN  Malformed command packet. Kicking. 1 warning. 
09:44:30.835 WARN  Total cycle time: 397 
09:44:30.835 WARN  Total player update time: 182 
09:44:30.835 WARN  Total lb+minimap processing time: 31 
09:44:30.835 WARN  Total entity physics calculation time: 33 
09:44:30.835 WARN  Total entity life+thought cycle time: 66 
09:44:30.835 WARN  Total entity selfie-taking time: 70 
09:44:30.835 WARN  Total time: 931 
09:44:31.911 WARN  ~~ LOOPS: 13. ENTITY #: 417//363. VIEW #: 1. BACKLOGGED :: 114.923%! ~~ 
09:44:31.911 WARN  Total activation time: 45 
09:44:31.911 WARN  Total collision time: 29 
09:44:31.911 WARN  Total cycle time: 424 
09:44:31.911 WARN  Total player update time: 139 
09:44:31.911 WARN  Total lb+minimap processing time: 74 
09:44:31.911 WARN  Total entity physics calculation time: 17 
09:44:31.912 WARN  Total entity life+thought cycle time: 124 
09:44:31.912 WARN  Total entity selfie-taking time: 95 
09:44:31.912 WARN  Total time: 947 
09:44:33.019 WARN  ~~ LOOPS: 9. ENTITY #: 415//364. VIEW #: 1. BACKLOGGED :: 193.333%! ~~ 
09:44:33.019 WARN  Total activation time: 54 
09:44:33.019 WARN  Total collision time: 48 
09:44:33.019 WARN  Total cycle time: 478 
09:44:33.019 WARN  Total player update time: 195 
09:44:33.019 WARN  Total lb+minimap processing time: 26 
09:44:33.019 WARN  Total entity physics calculation time: 18 
09:44:33.019 WARN  Total entity life+thought cycle time: 107 
09:44:33.019 WARN  Total entity selfie-taking time: 33 
09:44:33.019 WARN  Total time: 959 
09:44:34.645 WARN  ~~ LOOPS: 10. ENTITY #: 416//358. VIEW #: 1. BACKLOGGED :: 247.200%! ~~ 
09:44:34.648 WARN  Total activation time: 86 
09:44:34.648 WARN  Total collision time: 13 
09:44:34.648 WARN  Total cycle time: 725 
09:44:34.649 WARN  Total player update time: 129 
09:44:34.649 WARN  Total lb+minimap processing time: 404 
09:44:34.649 WARN  Total entity physics calculation time: 123 
09:44:34.649 WARN  Total entity life+thought cycle time: 311 
09:44:34.649 WARN  Total entity selfie-taking time: 160 
09:44:34.649 WARN  Total time: 1951 
09:44:35.733 WARN  ~~ LOOPS: 5. ENTITY #: 420//360. VIEW #: 1. BACKLOGGED :: 238.800%! ~~ 
09:44:35.733 WARN  Total activation time: 70 
09:44:35.733 WARN  Total collision time: 68 
09:44:35.733 WARN  Total cycle time: 260 
09:44:35.733 WARN  Total player update time: 157 
09:44:35.733 WARN  Total lb+minimap processing time: 26 
09:44:35.733 WARN  Total entity physics calculation time: 20 
09:44:35.733 WARN  Total entity life+thought cycle time: 113 
09:44:35.733 WARN  Total entity selfie-taking time: 30 
09:44:35.733 WARN  Total time: 744 
09:44:36.743 WARN  ~~ LOOPS: 11. ENTITY #: 430//362. VIEW #: 1. BACKLOGGED :: 155.182%! ~~ 
09:44:36.743 WARN  Total activation time: 43 
09:44:36.743 WARN  Total collision time: 33 
09:44:36.743 WARN  Total cycle time: 492 
09:44:36.743 WARN  Total player update time: 166 
09:44:36.743 WARN  Total lb+minimap processing time: 53 
09:44:36.743 WARN  Total entity physics calculation time: 53 
09:44:36.743 WARN  Total entity life+thought cycle time: 196 
09:44:36.743 WARN  Total entity selfie-taking time: 146 
09:44:36.743 WARN  Total time: 1182 
09:44:37.828 WARN  ~~ LOOPS: 8. ENTITY #: 428//360. VIEW #: 1. BACKLOGGED :: 239.625%! ~~ 
09:44:37.828 WARN  Total activation time: 70 
09:44:37.828 WARN  Total collision time: 123 
09:44:37.828 WARN  Total cycle time: 446 
09:44:37.828 WARN  Total player update time: 243 
09:44:37.828 WARN  Total lb+minimap processing time: 45 
09:44:37.828 WARN  Total entity physics calculation time: 24 
09:44:37.828 WARN  Total entity life+thought cycle time: 222 
09:44:37.828 WARN  Total entity selfie-taking time: 28 
09:44:37.828 WARN  Total time: 1201 
09:44:38.861 WARN  ~~ LOOPS: 11. ENTITY #: 428//361. VIEW #: 1. BACKLOGGED :: 168.545%! ~~ 
09:44:38.861 WARN  Total activation time: 113 
09:44:38.861 WARN  Total collision time: 66 
09:44:38.861 WARN  Total cycle time: 439 
09:44:38.861 WARN  Total player update time: 156 
09:44:38.861 WARN  Total lb+minimap processing time: 26 
09:44:38.861 WARN  Total entity physics calculation time: 51 
09:44:38.861 WARN  Total entity life+thought cycle time: 110 
09:44:38.861 WARN  Total entity selfie-taking time: 71 
09:44:38.861 WARN  Total time: 1032 
09:44:39.952 WARN  ~~ LOOPS: 11. ENTITY #: 424//362. VIEW #: 1. BACKLOGGED :: 123.545%! ~~ 
09:44:39.952 WARN  Total activation time: 67 
09:44:39.952 WARN  Total collision time: 28 
09:44:39.952 WARN  Total cycle time: 358 
09:44:39.952 WARN  Total player update time: 144 
09:44:39.952 WARN  Total lb+minimap processing time: 53 
09:44:39.952 WARN  Total entity physics calculation time: 35 
09:44:39.952 WARN  Total entity life+thought cycle time: 144 
09:44:39.952 WARN  Total entity selfie-taking time: 38 
09:44:39.952 WARN  Total time: 867 
09:44:41.013 WARN  ~~ LOOPS: 10. ENTITY #: 432//361. VIEW #: 1. BACKLOGGED :: 158.700%! ~~ 
09:44:41.013 WARN  Total activation time: 65 
09:44:41.013 WARN  Total collision time: 11 
09:44:41.013 WARN  Total cycle time: 453 
09:44:41.013 WARN  Total player update time: 186 
09:44:41.013 WARN  Total lb+minimap processing time: 53 
09:44:41.013 WARN  Total entity physics calculation time: 73 
09:44:41.013 WARN  Total entity life+thought cycle time: 191 
09:44:41.013 WARN  Total entity selfie-taking time: 37 
09:44:41.013 WARN  Total time: 1069 
09:44:42.099 WARN  ~~ LOOPS: 15. ENTITY #: 430//357. VIEW #: 1. BACKLOGGED :: 107.800%! ~~ 
09:44:42.114 WARN  Total activation time: 54 
09:44:42.116 WARN  Total collision time: 26 
09:44:42.116 WARN  Total cycle time: 459 
09:44:42.124 WARN  Total player update time: 132 
09:44:42.125 WARN  Total lb+minimap processing time: 23 
09:44:42.125 WARN  Total entity physics calculation time: 19 
09:44:42.125 WARN  Total entity life+thought cycle time: 175 
09:44:42.126 WARN  Total entity selfie-taking time: 69 
09:44:42.126 WARN  Total time: 957 
09:44:43.292 WARN  ~~ LOOPS: 10. ENTITY #: 432//361. VIEW #: 1. BACKLOGGED :: 167.700%! ~~ 
09:44:43.292 WARN  Total activation time: 101 
09:44:43.292 WARN  Total collision time: 27 
09:44:43.292 WARN  Total cycle time: 431 
09:44:43.292 WARN  Total player update time: 190 
09:44:43.292 WARN  Total lb+minimap processing time: 6 
09:44:43.292 WARN  Total entity physics calculation time: 46 
09:44:43.292 WARN  Total entity life+thought cycle time: 115 
09:44:43.292 WARN  Total entity selfie-taking time: 109 
09:44:43.292 WARN  Total time: 1025 
09:44:44.309 WARN  ~~ LOOPS: 13. ENTITY #: 429//358. VIEW #: 1. BACKLOGGED :: 123.000%! ~~ 
09:44:44.309 WARN  Total activation time: 61 
09:44:44.309 WARN  Total collision time: 37 
09:44:44.309 WARN  Total cycle time: 435 
09:44:44.309 WARN  Total player update time: 140 
09:44:44.309 WARN  Total lb+minimap processing time: 38 
09:44:44.309 WARN  Total entity physics calculation time: 46 
09:44:44.309 WARN  Total entity life+thought cycle time: 165 
09:44:44.309 WARN  Total entity selfie-taking time: 57 
09:44:44.309 WARN  Total time: 979 
09:44:57.578 WARN  ~~ LOOPS: 11. ENTITY #: 442//357. VIEW #: 1. BACKLOGGED :: 165.000%! ~~ 
09:44:57.578 WARN  Total activation time: 19 
09:44:57.578 WARN  Total collision time: 16 
09:44:57.578 WARN  Total cycle time: 570 
09:44:57.578 WARN  Total player update time: 68 
09:44:57.578 WARN  Total lb+minimap processing time: 7 
09:44:57.578 WARN  Total entity physics calculation time: 21 
09:44:57.578 WARN  Total entity life+thought cycle time: 28 
09:44:57.578 WARN  Total entity selfie-taking time: 19 
09:44:57.578 WARN  Total time: 748 
09:45:38.128 WARN  ~~ LOOPS: 14. ENTITY #: 437//358. VIEW #: 1. BACKLOGGED :: 111.000%! ~~ 
09:45:38.129 WARN  Total activation time: 96 
09:45:38.129 WARN  Total collision time: 23 
09:45:38.130 WARN  Total cycle time: 399 
09:45:38.130 WARN  Total player update time: 96 
09:45:38.130 WARN  Total lb+minimap processing time: 18 
09:45:38.131 WARN  Total entity physics calculation time: 36 
09:45:38.131 WARN  Total entity life+thought cycle time: 102 
09:45:38.131 WARN  Total entity selfie-taking time: 91 
09:45:38.132 WARN  Total time: 861 
09:45:41.150 WARN  ~~ LOOPS: 12. ENTITY #: 443//357. VIEW #: 1. BACKLOGGED :: 132.500%! ~~ 
09:45:41.150 WARN  Total activation time: 54 
09:45:41.150 WARN  Total collision time: 29 
09:45:41.151 WARN  Total cycle time: 447 
09:45:41.151 WARN  Total player update time: 111 
09:45:41.151 WARN  Total lb+minimap processing time: 23 
09:45:41.151 WARN  Total entity physics calculation time: 133 
09:45:41.152 WARN  Total entity life+thought cycle time: 103 
09:45:41.152 WARN  Total entity selfie-taking time: 75 
09:45:41.152 WARN  Total time: 975 
09:45:43.204 WARN  ~~ LOOPS: 13. ENTITY #: 443//355. VIEW #: 1. BACKLOGGED :: 130.154%! ~~ 
09:45:43.204 WARN  Total activation time: 43 
09:45:43.204 WARN  Total collision time: 142 
09:45:43.204 WARN  Total cycle time: 379 
09:45:43.204 WARN  Total player update time: 85 
09:45:43.204 WARN  Total lb+minimap processing time: 16 
09:45:43.204 WARN  Total entity physics calculation time: 26 
09:45:43.204 WARN  Total entity life+thought cycle time: 178 
09:45:43.204 WARN  Total entity selfie-taking time: 12 
09:45:43.204 WARN  Total time: 881 
09:45:53.874 WARN  ~~ LOOPS: 14. ENTITY #: 446//357. VIEW #: 1. BACKLOGGED :: 129.214%! ~~ 
09:45:53.874 WARN  Total activation time: 83 
09:45:53.875 WARN  Total collision time: 36 
09:45:53.875 WARN  Total cycle time: 484 
09:45:53.875 WARN  Total player update time: 171 
09:45:53.875 WARN  Total lb+minimap processing time: 78 
09:45:53.875 WARN  Total entity physics calculation time: 44 
09:45:53.875 WARN  Total entity life+thought cycle time: 171 
09:45:53.875 WARN  Total entity selfie-taking time: 116 
09:45:53.875 WARN  Total time: 1183 
09:46:04.338 WARN  ~~ LOOPS: 15. ENTITY #: 447//357. VIEW #: 1. BACKLOGGED :: 148.200%! ~~ 
09:46:04.338 WARN  Total activation time: 68 
09:46:04.338 WARN  Total collision time: 27 
09:46:04.338 WARN  Total cycle time: 646 
09:46:04.338 WARN  Total player update time: 89 
09:46:04.338 WARN  Total lb+minimap processing time: 31 
09:46:04.338 WARN  Total entity physics calculation time: 26 
09:46:04.338 WARN  Total entity life+thought cycle time: 62 
09:46:04.338 WARN  Total entity selfie-taking time: 59 
09:46:04.339 WARN  Total time: 1008 
09:46:15.793 WARN  ~~ LOOPS: 13. ENTITY #: 449//359. VIEW #: 1. BACKLOGGED :: 108.000%! ~~ 
09:46:15.793 WARN  Total activation time: 57 
09:46:15.793 WARN  Total collision time: 16 
09:46:15.793 WARN  Total cycle time: 395 
09:46:15.793 WARN  Total player update time: 123 
09:46:15.793 WARN  Total lb+minimap processing time: 18 
09:46:15.793 WARN  Total entity physics calculation time: 31 
09:46:15.793 WARN  Total entity life+thought cycle time: 137 
09:46:15.793 WARN  Total entity selfie-taking time: 145 
09:46:15.793 WARN  Total time: 922 
09:46:16.836 WARN  ~~ LOOPS: 14. ENTITY #: 446//356. VIEW #: 1. BACKLOGGED :: 111.643%! ~~ 
09:46:16.836 WARN  Total activation time: 31 
09:46:16.836 WARN  Total collision time: 14 
09:46:16.836 WARN  Total cycle time: 476 
09:46:16.836 WARN  Total player update time: 50 
09:46:16.836 WARN  Total lb+minimap processing time: 39 
09:46:16.836 WARN  Total entity physics calculation time: 23 
09:46:16.837 WARN  Total entity life+thought cycle time: 104 
09:46:16.837 WARN  Total entity selfie-taking time: 251 
09:46:16.837 WARN  Total time: 988 
09:46:21.900 WARN  ~~ LOOPS: 14. ENTITY #: 447//357. VIEW #: 1. BACKLOGGED :: 114.429%! ~~ 
09:46:21.900 WARN  Total activation time: 28 
09:46:21.900 WARN  Total collision time: 14 
09:46:21.901 WARN  Total cycle time: 492 
09:46:21.901 WARN  Total player update time: 57 
09:46:21.901 WARN  Total lb+minimap processing time: 10 
09:46:21.901 WARN  Total entity physics calculation time: 8 
09:46:21.901 WARN  Total entity life+thought cycle time: 60 
09:46:21.901 WARN  Total entity selfie-taking time: 35 
09:46:21.901 WARN  Total time: 704 
09:46:46.733 WARN  ~~ LOOPS: 10. ENTITY #: 443//356. VIEW #: 1. BACKLOGGED :: 190.500%! ~~ 
09:46:46.733 WARN  Total activation time: 19 
09:46:46.733 WARN  Total collision time: 10 
09:46:46.733 WARN  Total cycle time: 606 
09:46:46.733 WARN  Total player update time: 60 
09:46:46.733 WARN  Total lb+minimap processing time: 6 
09:46:46.733 WARN  Total entity physics calculation time: 20 
09:46:46.733 WARN  Total entity life+thought cycle time: 510 
09:46:46.733 WARN  Total entity selfie-taking time: 30 
09:46:46.733 WARN  Total time: 1261 
09:47:12.362 WARN  ~~ LOOPS: 10. ENTITY #: 450//359. VIEW #: 1. BACKLOGGED :: 207.000%! ~~ 
09:47:12.362 WARN  Total activation time: 248 
09:47:12.362 WARN  Total collision time: 21 
09:47:12.362 WARN  Total cycle time: 416 
09:47:12.362 WARN  Total player update time: 65 
09:47:12.362 WARN  Total lb+minimap processing time: 66 
09:47:12.362 WARN  Total entity physics calculation time: 19 
09:47:12.362 WARN  Total entity life+thought cycle time: 41 
09:47:12.362 WARN  Total entity selfie-taking time: 278 
09:47:12.362 WARN  Total time: 1154 
09:47:26.996 WARN  ~~ LOOPS: 14. ENTITY #: 446//357. VIEW #: 1. BACKLOGGED :: 115.714%! ~~ 
09:47:26.996 WARN  Total activation time: 40 
09:47:26.996 WARN  Total collision time: 15 
09:47:26.997 WARN  Total cycle time: 485 
09:47:26.997 WARN  Total player update time: 71 
09:47:26.997 WARN  Total lb+minimap processing time: 10 
09:47:27.005 WARN  Total entity physics calculation time: 33 
09:47:27.006 WARN  Total entity life+thought cycle time: 345 
09:47:27.006 WARN  Total entity selfie-taking time: 20 
09:47:27.006 WARN  Total time: 1019 
09:47:40.455 WARN  ~~ LOOPS: 5. ENTITY #: 451//357. VIEW #: 1. BACKLOGGED :: 453.000%! ~~ 
09:47:40.455 WARN  Total activation time: 599 
09:47:40.455 WARN  Total collision time: 8 
09:47:40.455 WARN  Total cycle time: 148 
09:47:40.455 WARN  Total player update time: 64 
09:47:40.455 WARN  Total lb+minimap processing time: 51 
09:47:40.455 WARN  Total entity physics calculation time: 6 
09:47:40.455 WARN  Total entity life+thought cycle time: 61 
09:47:40.456 WARN  Total entity selfie-taking time: 24 
09:47:40.456 WARN  Total time: 961 
09:47:50.797 WARN  ~~ LOOPS: 14. ENTITY #: 452//359. VIEW #: 1. BACKLOGGED :: 108.643%! ~~ 
09:47:50.797 WARN  Total activation time: 29 
09:47:50.797 WARN  Total collision time: 18 
09:47:50.797 WARN  Total cycle time: 460 
09:47:50.797 WARN  Total player update time: 98 
09:47:50.797 WARN  Total lb+minimap processing time: 29 
09:47:50.797 WARN  Total entity physics calculation time: 15 
09:47:50.797 WARN  Total entity life+thought cycle time: 377 
09:47:50.797 WARN  Total entity selfie-taking time: 16 
09:47:50.797 WARN  Total time: 1042 
09:48:16.426 WARN  ~~ LOOPS: 8. ENTITY #: 445//359. VIEW #: 1. BACKLOGGED :: 272.625%! ~~ 
09:48:16.426 WARN  Total activation time: 21 
09:48:16.426 WARN  Total collision time: 9 
09:48:16.426 WARN  Total cycle time: 697 
09:48:16.426 WARN  Total player update time: 52 
09:48:16.426 WARN  Total lb+minimap processing time: 49 
09:48:16.426 WARN  Total entity physics calculation time: 16 
09:48:16.426 WARN  Total entity life+thought cycle time: 571 
09:48:16.426 WARN  Total entity selfie-taking time: 7 
09:48:16.426 WARN  Total time: 1422 
09:48:17.487 WARN  ~~ LOOPS: 13. ENTITY #: 451//355. VIEW #: 1. BACKLOGGED :: 142.846%! ~~ 
09:48:17.487 WARN  Total activation time: 362 
09:48:17.487 WARN  Total collision time: 32 
09:48:17.487 WARN  Total cycle time: 225 
09:48:17.487 WARN  Total player update time: 78 
09:48:17.487 WARN  Total lb+minimap processing time: 32 
09:48:17.487 WARN  Total entity physics calculation time: 28 
09:48:17.487 WARN  Total entity life+thought cycle time: 38 
09:48:17.487 WARN  Total entity selfie-taking time: 22 
09:48:17.487 WARN  Total time: 817 
09:48:42.104 WARN  ~~ LOOPS: 14. ENTITY #: 456//355. VIEW #: 1. BACKLOGGED :: 103.500%! ~~ 
09:48:42.104 WARN  Total activation time: 73 
09:48:42.104 WARN  Total collision time: 24 
09:48:42.108 WARN  Total cycle time: 386 
09:48:42.108 WARN  Total player update time: 129 
09:48:42.108 WARN  Total lb+minimap processing time: 41 
09:48:42.108 WARN  Total entity physics calculation time: 27 
09:48:42.108 WARN  Total entity life+thought cycle time: 144 
09:48:42.108 WARN  Total entity selfie-taking time: 80 
09:48:42.108 WARN  Total time: 904 
09:48:50.505 WARN  ~~ LOOPS: 12. ENTITY #: 457//356. VIEW #: 1. BACKLOGGED :: 147.250%! ~~ 
09:48:50.505 WARN  Total activation time: 18 
09:48:50.505 WARN  Total collision time: 10 
09:48:50.505 WARN  Total cycle time: 560 
09:48:50.505 WARN  Total player update time: 33 
09:48:50.505 WARN  Total lb+minimap processing time: 15 
09:48:50.505 WARN  Total entity physics calculation time: 8 
09:48:50.505 WARN  Total entity life+thought cycle time: 36 
09:48:50.505 WARN  Total entity selfie-taking time: 14 
09:48:50.505 WARN  Total time: 694 
10:28:12.638 WARN  ~~ LOOPS: 13. ENTITY #: 128//62. VIEW #: 1. BACKLOGGED :: 122.077%! ~~ 
10:28:12.639 WARN  Total activation time: 4 
10:28:12.639 WARN  Total collision time: 4 
10:28:12.639 WARN  Total cycle time: 520 
10:28:12.639 WARN  Total player update time: 17 
10:28:12.639 WARN  Total lb+minimap processing time: 2 
10:28:12.639 WARN  Total entity physics calculation time: 4 
10:28:12.639 WARN  Total entity life+thought cycle time: 501 
10:28:12.639 WARN  Total entity selfie-taking time: 1 
10:28:12.639 WARN  Total time: 1053 
10:28:47.753 WARN  ~~ LOOPS: 10. ENTITY #: 394//298. VIEW #: 1. BACKLOGGED :: 190.500%! ~~ 
10:28:47.753 WARN  Total activation time: 18 
10:28:47.754 WARN  Total collision time: 450 
10:28:47.754 WARN  Total cycle time: 167 
10:28:47.754 WARN  Total player update time: 77 
10:28:47.754 WARN  Total lb+minimap processing time: 6 
10:28:47.755 WARN  Total entity physics calculation time: 36 
10:28:47.755 WARN  Total entity life+thought cycle time: 61 
10:28:47.755 WARN  Total entity selfie-taking time: 19 
10:28:47.755 WARN  Total time: 834 
10:28:48.764 WARN  ~~ LOOPS: 11. ENTITY #: 394//308. VIEW #: 1. BACKLOGGED :: 175.909%! ~~ 
10:28:48.764 WARN  Total activation time: 20 
10:28:48.765 WARN  Total collision time: 546 
10:28:48.765 WARN  Total cycle time: 79 
10:28:48.765 WARN  Total player update time: 29 
10:28:48.765 WARN  Total lb+minimap processing time: 7 
10:28:48.766 WARN  Total entity physics calculation time: 8 
10:28:48.766 WARN  Total entity life+thought cycle time: 26 
10:28:48.766 WARN  Total entity selfie-taking time: 14 
10:28:48.766 WARN  Total time: 729 
10:29:18.297 WARN  ~~ LOOPS: 17. ENTITY #: 319//210. VIEW #: 1. BACKLOGGED :: 132.882%! ~~ 
10:29:18.297 WARN  Total activation time: 26 
10:29:18.297 WARN  Total collision time: 13 
10:29:18.297 WARN  Total cycle time: 714 
10:29:18.297 WARN  Total player update time: 34 
10:29:18.297 WARN  Total lb+minimap processing time: 4 
10:29:18.297 WARN  Total entity physics calculation time: 441 
10:29:18.297 WARN  Total entity life+thought cycle time: 220 
10:29:18.297 WARN  Total entity selfie-taking time: 11 
10:29:18.297 WARN  Total time: 1463 
10:30:21.111 ERROR Egg 
10:30:21.113 ERROR Cannot read property 'NaN' of undefined
TypeError: Cannot read property 'NaN' of undefined
    at Object.room.isIn (/app/arrasio/src/server/server.js:300:42)
    at entities.map.instance (/app/arrasio/src/server/server.js:5029:34)
    at Array.map (<anonymous>)
    at makefood (/app/arrasio/src/server/server.js:5024:29)
    at Timeout.maintainloop [as _onTimeout] (/app/arrasio/src/server/server.js:5089:9)
    at ontimeout (timers.js:498:11)
    at tryOnTimeout (timers.js:323:5)
    at Timer.listOnTimeout (timers.js:290:5) 
10:32:42.408 ERROR Egg 
10:32:42.409 ERROR Cannot read property 'NaN' of undefined
TypeError: Cannot read property 'NaN' of undefined
    at Object.room.isIn (/app/arrasio/src/server/server.js:300:42)
    at entities.map.instance (/app/arrasio/src/server/server.js:5029:34)
    at Array.map (<anonymous>)
    at makefood (/app/arrasio/src/server/server.js:5024:29)
    at Timeout.maintainloop [as _onTimeout] (/app/arrasio/src/server/server.js:5089:9)
    at ontimeout (timers.js:498:11)
    at tryOnTimeout (timers.js:323:5)
    at Timer.listOnTimeout (timers.js:290:5) 
10:48:48.316 WARN  ~~ LOOPS: 12. ENTITY #: 385//310. VIEW #: 1. BACKLOGGED :: 143.500%! ~~ 
10:48:48.316 WARN  Total activation time: 17 
10:48:48.317 WARN  Total collision time: 12 
10:48:48.317 WARN  Total cycle time: 545 
10:48:48.317 WARN  Total player update time: 13 
10:48:48.317 WARN  Total lb+minimap processing time: 6 
10:48:48.317 WARN  Total entity physics calculation time: 5 
10:48:48.317 WARN  Total entity life+thought cycle time: 20 
10:48:48.317 WARN  Total entity selfie-taking time: 13 
10:48:48.317 WARN  Total time: 631 
10:48:50.324 WARN  ~~ LOOPS: 13. ENTITY #: 380//304. VIEW #: 1. BACKLOGGED :: 126.231%! ~~ 
10:48:50.324 WARN  Total activation time: 24 
10:48:50.324 WARN  Total collision time: 11 
10:48:50.324 WARN  Total cycle time: 512 
10:48:50.324 WARN  Total player update time: 25 
10:48:50.324 WARN  Total lb+minimap processing time: 7 
10:48:50.324 WARN  Total entity physics calculation time: 6 
10:48:50.324 WARN  Total entity life+thought cycle time: 30 
10:48:50.324 WARN  Total entity selfie-taking time: 14 
10:48:50.324 WARN  Total time: 629 
10:48:52.393 WARN  ~~ LOOPS: 15. ENTITY #: 376//309. VIEW #: 1. BACKLOGGED :: 102.600%! ~~ 
10:48:52.394 WARN  Total activation time: 29 
10:48:52.394 WARN  Total collision time: 372 
10:48:52.394 WARN  Total cycle time: 112 
10:48:52.394 WARN  Total player update time: 29 
10:48:52.394 WARN  Total lb+minimap processing time: 11 
10:48:52.394 WARN  Total entity physics calculation time: 14 
10:48:52.394 WARN  Total entity life+thought cycle time: 31 
10:48:52.394 WARN  Total entity selfie-taking time: 15 
10:48:52.394 WARN  Total time: 613 
10:48:55.417 WARN  ~~ LOOPS: 14. ENTITY #: 379//307. VIEW #: 1. BACKLOGGED :: 109.071%! ~~ 
10:48:55.417 WARN  Total activation time: 385 
10:48:55.418 WARN  Total collision time: 13 
10:48:55.418 WARN  Total cycle time: 111 
10:48:55.418 WARN  Total player update time: 35 
10:48:55.418 WARN  Total lb+minimap processing time: 6 
10:48:55.418 WARN  Total entity physics calculation time: 12 
10:48:55.418 WARN  Total entity life+thought cycle time: 42 
10:48:55.418 WARN  Total entity selfie-taking time: 17 
10:48:55.418 WARN  Total time: 621 
10:48:58.457 WARN  ~~ LOOPS: 14. ENTITY #: 385//304. VIEW #: 1. BACKLOGGED :: 108.857%! ~~ 
10:48:58.457 WARN  Total activation time: 26 
10:48:58.457 WARN  Total collision time: 8 
10:48:58.457 WARN  Total cycle time: 474 
10:48:58.457 WARN  Total player update time: 43 
10:48:58.457 WARN  Total lb+minimap processing time: 10 
10:48:58.457 WARN  Total entity physics calculation time: 8 
10:48:58.457 WARN  Total entity life+thought cycle time: 40 
10:48:58.457 WARN  Total entity selfie-taking time: 385 
10:48:58.457 WARN  Total time: 994 
10:48:59.479 WARN  ~~ LOOPS: 15. ENTITY #: 386//312. VIEW #: 1. BACKLOGGED :: 106.400%! ~~ 
